size,sc,split,scale_idx,scale_value,allowed_n,effective_vocab,dead_fraction,perplexity,entropy_bits,top1_share,n_tokens,residual_energy,geom_eff_dim,geom_mean_cos_dist
large,sc917,val,4,16,1498,1498,0.0,881.2716323978578,9.783442956153738,0.003115234375,512000,13872.3525390625,3.007424831390381,0.9912203550338745
large,sc917,val,5,24,1520,1500,0.013157894736842146,1465.606276111431,10.517281871222307,0.0010555555555555555,1152000,15253.36328125,3.007424831390381,0.9912203550338745
large,sc1941,train,0,1,1,1,0.0,1.0,-0.0,1.0,30000,2521.796875,4.530635356903076,0.9901365041732788
large,sc1941,train,1,2,10,10,0.0,2.2265743520202714,1.1548257885155646,0.5317166666666666,120000,226.42173767089844,4.530635356903076,0.9901365041732788
large,sc1941,train,2,4,45,45,0.0,10.957622039898075,3.4538628417741393,0.20426875,480000,383.16522216796875,4.530635356903076,0.9901365041732788
large,sc1941,train,3,8,362,362,0.0,55.54154670407596,5.79549544833562,0.043244270833333334,1920000,1078.48681640625,4.530635356903076,0.9901365041732788
large,sc1941,train,4,16,1556,1556,0.0,342.9647849393744,8.4219166402209,0.008847265625,7680000,2675.735107421875,4.530635356903076,0.9901365041732788
large,sc1941,train,5,24,2148,2148,0.0,1053.5679326418103,10.041067624850278,0.0024455439814814813,17280000,3559.08544921875,4.530635356903076,0.9901365041732788
large,sc1941,train,6,32,2149,2149,0.0,2006.4922125191172,10.970459841486772,0.00079111328125,30720000,7762.919921875,4.530635356903076,0.9901365041732788
large,sc1941,val,0,1,1,1,0.0,1.0,-0.0,1.0,2000,2521.796875,4.530635356903076,0.9901365041732788
large,sc1941,val,1,2,10,8,0.19999999999999996,2.346819197570129,1.2307066987777624,0.495375,8000,226.42173767089844,4.530635356903076,0.9901365041732788
large,sc1941,val,2,4,45,37,0.1777777777777778,11.996841425321833,3.5845827124006835,0.199625,32000,383.16522216796875,4.530635356903076,0.9901365041732788
large,sc1941,val,3,8,362,245,0.32320441988950277,55.96411560343968,5.806430157145981,0.0428984375,128000,1078.48681640625,4.530635356903076,0.9901365041732788
large,sc1941,val,4,16,1556,1250,0.19665809768637532,361.04110060275644,8.49601927137627,0.008046875,512000,2675.735107421875,4.530635356903076,0.9901365041732788
large,sc1941,val,5,24,2148,2101,0.021880819366852933,1101.3370539984035,10.10504034458689,0.002296875,1152000,3559.08544921875,4.530635356903076,0.9901365041732788
large,sc1941,val,6,32,2149,2116,0.015355979525360608,2018.4204087829723,10.979010983634087,0.0007978515625,2048000,7762.919921875,4.530635356903076,0.9901365041732788
